file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\pedri\Documents\LABMining\repos\sample\src\main\java\com\facebook\samples\litho\java\animations\animationcookbook\CallbackExampleComponentSpec.java,com.facebook.samples.litho.java.animations.animationcookbook.CallbackExampleComponentSpec,class,14,15,1,14,5,1,0,22,6,0.75,0.0,0.0,4,4,0,1,0,3,3,0,0,0,2,2,0,2,0,0,2,0,1,44,2,0,1,0,0,1,7,5,0,5,1,2,0,0,38,0,0
C:\Users\pedri\Documents\LABMining\repos\sample\src\main\java\com\facebook\samples\litho\java\triggers\ComponentWithCustomEventTriggerComponentSpec.java,com.facebook.samples.litho.java.triggers.ComponentWithCustomEventTriggerComponentSpec,class,13,13,0,13,4,1,0,8,6,0.0,0.0,0.0,4,4,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,2,0,2,0,0,0,0,0,21,1,0
C:\Users\pedri\Documents\LABMining\repos\litho-rendercore-testing\src\main\java\com\facebook\rendercore\testing\RenderCoreTestRule.java,com.facebook.rendercore.testing.RenderCoreTestRule,class,20,22,2,20,23,1,0,20,111,0.87878793,0.15833333,0.16666667,18,0,16,2,0,0,16,0,0,0,11,3,2,9,0,0,3,0,1,137,16,0,3,0,4,2,7,23,0,14,1,2,1,0,103,1,0
C:\Users\pedri\Documents\LABMining\repos\lib\yoga\src\main\java\com\facebook\yoga\YogaNodeJNIFinalizer.java,com.facebook.yoga.YogaNodeJNIFinalizer,class,4,6,2,4,5,3,0,3,6,0.0,0.0,0.0,4,0,3,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,23,0,0,1,1,0,0,2,2,0,1,1,0,0,0,17,1,0
C:\Users\pedri\Documents\LABMining\repos\litho-core\src\main\java\com\facebook\litho\ComponentAccessibilityDelegate.java,com.facebook.litho.ComponentAccessibilityDelegate,class,24,27,3,24,58,3,0,58,72,0.73,0.38562092,0.59477127,20,3,10,2,5,3,18,0,0,0,5,2,0,5,0,0,4,0,35,222,20,1,30,4,3,6,7,30,4,29,2,0,1,0,133,0,0
C:\Users\pedri\Documents\LABMining\repos\litho-editor-core\src\main\java\com\facebook\litho\editor\Editor.java,com.facebook.litho.editor.Editor,interface,1,10,9,1,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,1,0
C:\Users\pedri\Documents\LABMining\repos\litho-it\src\test\java\com\facebook\litho\dataflow\MockTimingSourceTest.java,com.facebook.litho.dataflow.MockTimingSourceTest$Anonymous1$Anonymous2,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,-1,0
C:\Users\pedri\Documents\LABMining\repos\litho-editor-core\src\main\java\com\facebook\litho\editor\instances\NumberEditorInstance.java,com.facebook.litho.editor.instances.NumberEditorInstance,class,5,6,1,5,4,1,0,5,3,0.6666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,3,39,2,0,1,0,1,1,0,2,0,2,0,1,0,0,24,1,0
C:\Users\pedri\Documents\LABMining\repos\sample\src\main\java\com\facebook\samples\litho\java\animations\animationcomposition\ComposedAnimationsActivity.java,com.facebook.samples.litho.java.animations.animationcomposition.ComposedAnimationsActivity,class,3,3,0,3,1,3,0,4,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0
C:\Users\pedri\Documents\LABMining\repos\litho-sections-widget\src\main\java\com\facebook\litho\sections\widget\StaggeredGridRecyclerConfiguration.java,com.facebook.litho.sections.widget.StaggeredGridRecyclerConfiguration,class,14,16,2,14,15,1,0,1,66,0.8205128,0.07692308,0.12820514,13,2,13,0,0,0,13,0,0,0,6,0,0,6,0,0,6,0,0,107,9,0,2,0,0,0,0,6,0,6,0,0,2,0,49,1,0
C:\Users\pedri\Documents\LABMining\repos\litho-core\src\main\java\com\facebook\litho\DebugLayoutNodeEditor.java,com.facebook.litho.DebugLayoutNodeEditor,class,10,14,4,10,74,1,0,47,0,0.0,1.0,1.0,31,0,31,0,0,0,31,0,0,0,1,0,0,1,0,0,1,0,0,217,0,0,3,0,0,0,2,4,0,4,1,0,0,0,59,1,0
C:\Users\pedri\Documents\LABMining\repos\litho-it\src\test\java\com\facebook\litho\processor\integration\sections\SectionsProcessorIntegrationTest.java,com.facebook.litho.processor.integration.sections.SectionsProcessorIntegrationTest,class,5,5,0,5,2,1,0,12,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,2,0,2,0,0,2,0,0,18,0,0,0,0,0,20,0,10,8,10,0,0,0,0,38,1,0
C:\Users\pedri\Documents\LABMining\repos\litho-intellij-plugin\src\main\java\com\facebook\litho\specmodels\processor\PsiTriggerMethodExtractor.java,com.facebook.litho.specmodels.processor.PsiTriggerMethodExtractor,class,14,19,5,14,3,1,0,19,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,18,1,1,1,0,0,1,0,8,0,8,2,0,0,0,34,1,0
C:\Users\pedri\Documents\LABMining\repos\litho-it\src\test\java\com\facebook\litho\ComponentTreeTest.java,com.facebook.litho.ComponentTreeTest$Anonymous1$Anonymous2,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
C:\Users\pedri\Documents\LABMining\repos\sample\src\main\java\com\facebook\samples\litho\java\animations\animationcookbook\BounceExampleComponentSpec.java,com.facebook.samples.litho.java.animations.animationcookbook.BounceExampleComponentSpec$Anonymous2,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
C:\Users\pedri\Documents\LABMining\repos\sample\src\main\java\com\facebook\samples\litho\java\animations\animationcookbook\BounceExampleComponentSpec.java,com.facebook.samples.litho.java.animations.animationcookbook.BounceExampleComponentSpec$Anonymous1,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
C:\Users\pedri\Documents\LABMining\repos\litho-it\src\test\resources\processor\TestMount.java,com.facebook.litho.processor.integration.resources.TestMount$TestMountStateContainer,innerclass,8,8,0,8,3,2,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,1,20,0,0,0,0,0,0,7,4,0,5,1,0,0,0,12,8,0
C:\Users\pedri\Documents\LABMining\repos\litho-widget\src\main\java\com\facebook\litho\widget\RecyclerBinder.java,com.facebook.litho.widget.RecyclerBinder$Builder,innerclass,21,21,0,21,39,1,0,7,551,0.96732056,0.0089126555,0.019607844,34,0,33,0,0,1,34,0,0,0,36,1,1,35,0,0,1,0,0,188,34,0,3,0,0,1,2,53,1,36,1,0,0,0,422,9,0
